class_id,department_id
class_b7f740446b63715473af,department_8a993a4318f59b4ffdb3
class_7d54e6ff154ad392b174,department_7d54e6ff154ad392b174
class_e65aace9237833ec7752,department_ef79c1b75444f473a5d2
class_52da9457fdf6740afd51,department_b4cb07955152f4f9ed55
class_1bc7e06ece0f38a60982,department_b4cb07955152f4f9ed55
class_be68f8ed5877c11b8be4,department_5da3128be1ff7664a1b2
class_f6efb94c9ae061247bed,department_8a993a4318f59b4ffdb3
class_1318693c237b7b97c0c0,department_b4cb07955152f4f9ed55
class_0eeaed02d1a961f133b4,department_ef79c1b75444f473a5d2
class_9deef4712756d30ffaa3,department_b4cb07955152f4f9ed55
class_c3ca5f787365eae0dea8,department_8a993a4318f59b4ffdb3
class_5da3128be1ff7664a1b2,department_5da3128be1ff7664a1b2
class_b89f90f328fa7e7781c0,department_8a993a4318f59b4ffdb3
class_48075864b2596de25a65,department_48075864b2596de25a65
class_1cf1396a0c9bc53f37da,department_ef79c1b75444f473a5d2
class_4397d106b671d697b6e0,department_8a993a4318f59b4ffdb3
class_9e32d15b246e504af33c,department_ef79c1b75444f473a5d2
class_52438e68a549a636811e,department_8a993a4318f59b4ffdb3
class_43f6fe05e589fb76ff8a,department_ef79c1b75444f473a5d2
class_4e1ff09fdbe6a9fc478f,department_8a993a4318f59b4ffdb3
