review_id,division_id
review_0,division_df561e6f16d9f3e64a28
review_1,division_dfe2db74975e0aa9f6fd
review_2,division_dfe2db74975e0aa9f6fd
review_3,division_55b19b36aa7567f7ecbf
review_4,division_dfe2db74975e0aa9f6fd
review_5,division_dfe2db74975e0aa9f6fd
review_6,division_55b19b36aa7567f7ecbf
review_7,division_55b19b36aa7567f7ecbf
review_8,division_dfe2db74975e0aa9f6fd
review_9,division_dfe2db74975e0aa9f6fd
review_10,division_dfe2db74975e0aa9f6fd
review_11,division_55b19b36aa7567f7ecbf
review_12,division_55b19b36aa7567f7ecbf
review_13,division_df561e6f16d9f3e64a28
review_14,division_dfe2db74975e0aa9f6fd
review_15,division_dfe2db74975e0aa9f6fd
review_16,division_dfe2db74975e0aa9f6fd
review_17,division_dfe2db74975e0aa9f6fd
review_18,division_dfe2db74975e0aa9f6fd
review_19,division_dfe2db74975e0aa9f6fd
review_20,division_dfe2db74975e0aa9f6fd
review_21,division_dfe2db74975e0aa9f6fd
review_22,division_dfe2db74975e0aa9f6fd
review_23,division_dfe2db74975e0aa9f6fd
review_24,division_dfe2db74975e0aa9f6fd
review_25,division_df561e6f16d9f3e64a28
review_26,division_dfe2db74975e0aa9f6fd
review_27,division_dfe2db74975e0aa9f6fd
review_28,division_df561e6f16d9f3e64a28
review_29,division_dfe2db74975e0aa9f6fd
review_30,division_55b19b36aa7567f7ecbf
review_31,division_55b19b36aa7567f7ecbf
review_32,division_55b19b36aa7567f7ecbf
review_33,division_dfe2db74975e0aa9f6fd
review_34,division_df561e6f16d9f3e64a28
review_35,division_55b19b36aa7567f7ecbf
review_36,division_dfe2db74975e0aa9f6fd
review_37,division_dfe2db74975e0aa9f6fd
review_38,division_df561e6f16d9f3e64a28
review_39,division_dfe2db74975e0aa9f6fd
review_40,division_dfe2db74975e0aa9f6fd
review_41,division_dfe2db74975e0aa9f6fd
review_42,division_dfe2db74975e0aa9f6fd
review_43,division_df561e6f16d9f3e64a28
review_44,division_dfe2db74975e0aa9f6fd
review_45,division_dfe2db74975e0aa9f6fd
review_46,division_dfe2db74975e0aa9f6fd
review_47,division_dfe2db74975e0aa9f6fd
review_48,division_dfe2db74975e0aa9f6fd
review_49,division_dfe2db74975e0aa9f6fd
review_50,division_dfe2db74975e0aa9f6fd
review_51,division_dfe2db74975e0aa9f6fd
review_52,division_dfe2db74975e0aa9f6fd
review_53,division_dfe2db74975e0aa9f6fd
review_54,division_dfe2db74975e0aa9f6fd
review_55,division_dfe2db74975e0aa9f6fd
review_56,division_df561e6f16d9f3e64a28
review_57,division_dfe2db74975e0aa9f6fd
review_58,division_55b19b36aa7567f7ecbf
review_59,division_df561e6f16d9f3e64a28
review_60,division_55b19b36aa7567f7ecbf
review_61,division_df561e6f16d9f3e64a28
review_62,division_dfe2db74975e0aa9f6fd
review_63,division_dfe2db74975e0aa9f6fd
review_64,division_dfe2db74975e0aa9f6fd
review_65,division_dfe2db74975e0aa9f6fd
review_66,division_dfe2db74975e0aa9f6fd
review_67,division_dfe2db74975e0aa9f6fd
review_68,division_dfe2db74975e0aa9f6fd
review_69,division_55b19b36aa7567f7ecbf
review_70,division_55b19b36aa7567f7ecbf
review_71,division_dfe2db74975e0aa9f6fd
review_72,division_dfe2db74975e0aa9f6fd
review_73,division_55b19b36aa7567f7ecbf
review_74,division_55b19b36aa7567f7ecbf
review_75,division_55b19b36aa7567f7ecbf
review_76,division_dfe2db74975e0aa9f6fd
review_77,division_55b19b36aa7567f7ecbf
review_78,division_dfe2db74975e0aa9f6fd
review_79,division_55b19b36aa7567f7ecbf
