id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
196958,https://batdongsan.vn/ban-nha-nguyen-son-long-bien-dan-tri-tuyet-voi-dan-xay-oto-full-nt-50m-5-tang12x-tytl-r196958,"Bán nhà Nguyễn Sơn Long Biên- Dân trí Tuyệt vời Dân Xây- Oto- Full NT - 50m 5 tầng12,x tỷ(TL)","Long Biên, Hà Nội",2,50.0,4.0,4.0,6.0,False,12500.0
196967,https://batdongsan.vn/ban-nha-hem-xe-hoi-4m-2-mat-tien-2-tang-ngang-4x23mchi-nhinh-5-ty-r196967,"BÁN NHÀ HẺM XE HƠI 4M, 2 MẶT TIỀN - 2 TẦNG , NGANG 4x23m,CHỈ NHỈNH 5 TỶ.","Bình Chánh, Hồ Chí Minh",2,98.0,4.0,4.0,3.0,True,5500.0
196983,https://batdongsan.vn/o-to-ngu-nha-62m2-5-tang4pn-gan-kdc-cityland-chi-hon-8x-ty-r196983,Ô TÔ NGỦ NHÀ – 62M² – 5 Tầng/4PN – Gần kdc CITYLAND – Chỉ hơn 8x Tỷ,"Gò Vấp, Hồ Chí Minh",2,62.0,4.0,5.0,6.0,False,8740.0
196962,https://batdongsan.vn/ban-nha-phuc-loi-ngo-nong-o-to-vao-nha-trung-tam-dan-xay-39m-5-tang-nhinh-6-ty-r196962,Bán nhà Phúc Lợi - ngõ nông - ô tô vào nhà - trung tâm - dân xây - 39m 5 tầng nhỉnh 6 tỷ,"Long Biên, Hà Nội",2,39.0,3.0,4.0,6.0,False,6500.0
196972,https://batdongsan.vn/tran-duy-hung-6-tang-thang-may-ngo-thong-dt-45m2-mat-tien-35m-gia-1698-ty-r196972,TRẦN DUY HƯNG - 6 TẦNG THANG MÁY - NGÕ THÔNG Dt  45m2 mặt tiền 3.5m Giá 16.98 tỷ,"Cầu Giấy, Hà Nội",2,45.0,3.0,3.0,7.0,True,16980.0
196513,https://batdongsan.vn/ban-nha-to-11-yen-nghia-34m2-3-tang-lo-goc-mat-ngo-nhinh-6-ty-r196513,"Bán Nhà Tổ 11 Yên Nghĩa – 34m2 , 3 tầng – lô góc , mặt ngõ – nhỉnh 6 tỷ","Hà Đông, Hà Nội",96,34.0,3.0,3.0,4.0,False,6550.0
195869,https://batdongsan.vn/ban-nha-vuong-thua-vu-thanh-xuan-86m2-mt-78m-3-tang-135-ty-r195869,"BÁN NHÀ VƯƠNG -THỪA VŨ – THANH XUÂN 86M2- MT 7,8M- 3 TẦNG – 13.5 TỶ","Thanh Xuân, Hà Nội",168,86.0,5.0,4.0,4.0,False,13500.0
196205,https://batdongsan.vn/ban-nha-tay-mo-45m2-mt-45m-5-tang-dan-xay-5-ngu-chao-75-ty-r196205,"Bán nhà Tây Mỗ - 45m2 – mt 4.5m, 5 tầng dân xây 5 ngủ- chào 7,5 tỷ","Nam Từ Liêm, Hà Nội",144,5.0,5.0,4.0,6.0,False,7500.0
196980,https://batdongsan.vn/ban-nha-cao-lo-quan-8-nha-4-tang-moi-dep-ke-hxh-nhinh-6-ty-0948769331-r196980,BÁN NHÀ CAO LỖ  QUẬN 8 – NHÀ 4 TẦNG MỚI  ĐẸP – KẾ HXH  – NHỈNH 6 TỶ- 0948.769.331,"Quận 8, Hồ Chí Minh",2,50.0,5.0,5.0,5.0,False,6000.0
196957,https://batdongsan.vn/ban-nha-mat-tien-tran-phu-gan-vong-xoay-hong-bang-37x12m-4-tang-4-pn-138-ty-r196957,"Bán nhà Mặt tiền Trần Phú, gần vòng xoay Hồng Bàng, 3,7x12m, 4 Tầng, 4 PN, 13,8 tỷ.","Quận 5, Hồ Chí Minh",2,40.0,4.0,4.0,5.0,True,14500.0
196966,https://batdongsan.vn/hoang-hoa-tham-40m-x4-tang-85-ty-20m-ra-pho20m-duong-2-o-to-tranhngo-thong-r196966,"hoàng hoa thám 40m x4 tầng 8,5 tỷ-20m ra phố,20m đường 2 ô tô tránh,ngõ thông","Tây Hồ, Hà Nội",2,40.0,4.0,5.0,5.0,False,8500.0
196520,https://batdongsan.vn/ban-nha-5-lau-co-thang-may-doi-dien-cong-vien-pm-quang-trung-r196520,BÁN NHÀ 5 LẦU CÓ THANG MÁY – ĐỐI DIỆN CÔNG VIÊN PM QUANG TRUNG,"Quận 12, Hồ Chí Minh",96,138.0,13.0,13.0,6.0,False,13700.0
196476,https://batdongsan.vn/ban-nha-quan-5-gan-hong-bang-gia-3-ty9-1-tret-1-lau-nha-chinh-chu-1-doi-r196476,"bán nhà Quận 5 gần Hồng Bàng, giá 3 tỷ9, 1 trệt 1 lầu, nhà chính chủ 1 đời","Quận 5, Hồ Chí Minh",96,30.0,2.0,2.0,2.0,False,3900.0
196492,https://batdongsan.vn/giam-manh-4-ty-nha-hem-1122-quang-trung-5-lau-ngang-58m-90m2-co-tmay-gan-emart-14-ty-r196492,Giảm mạnh 4 tỷ nhà hẻm 1122 Quang Trung 5 lầu ngang 5.8m 90m2 có T.máy gần Emart 14 tỷ.,"Gò Vấp, Hồ Chí Minh",96,90.0,5.0,6.0,6.0,False,14000.0
196499,https://batdongsan.vn/ban-nha-quan-8-nguyen-che-nghia-4-tang-hem-xe-hoi-gia-nhinh-7-ty-r196499,"Bán nhà Quận 8 Nguyễn Chế Nghĩa 4 tầng, hẻm xe hơi, giá nhỉnh 7 tỷ","Quận 8, Hồ Chí Minh",96,64.0,4.0,4.0,5.0,False,7800.0
196507,https://batdongsan.vn/ban-nha-6-tang-mat-tien-duong-yersin-gia-27-ty-tp-nha-trang-dien-tich-1111m2-moi-thong-tin-chi-r196507,"Bán Nhà 6 tầng mặt tiền đường Yersin Giá 27 Tỷ. Tp Nha Trang Diện tích : 111,1m2 mọi thông tin chi","Nha Trang, Khánh Hòa",96,111.0,17.0,,7.0,True,27000.0
196493,https://batdongsan.vn/ban-nha-3-tang-85m2-duong-so-9-linh-xuan-thu-duc-tp-hcm-so-hong-gia-615-ty-lien-he-r196493,"Bán nhà 3 tầng 85m2 , đường số 9, Linh Xuân, Thủ Đức, TP HCM - Sổ hồng, giá 6,15  tỷ. Liên hệ","Thủ Đức, Hồ Chí Minh",96,85.0,5.0,6.0,4.0,False,6150.0
196508,https://batdongsan.vn/nha-moi-2-lau-so-rieng-trung-tam-tan-trieu-chi-550-trieu-r196508,🔥 NHÀ MỚI 2 LẦU – SỔ RIÊNG – TRUNG TÂM TÂN TRIỀU – CHỈ 550 TRIỆU 🔥,"Vĩnh Cửu, Đồng Nai",96,100.0,4.0,2.0,3.0,False,550.0
196477,https://batdongsan.vn/an-duong-tay-ho-nha-moi-6-tang-o-to-16-cho-do-cua-thang-may-2-thoang-truoc-sau-r196477,AN DƯƠNG - TÂY HỒ - NHÀ MỚI 6 TẦNG – Ô TÔ 16 CHỖ ĐỖ CỬA – THANG MÁY – 2 THOÁNG TRƯỚC SAU,"Tây Hồ, Hà Nội",96,75.0,6.0,5.0,7.0,False,21500.0
196498,https://batdongsan.vn/ban-nha-pho-to-vinh-dien-thanh-xuan-59m-4-tang-mt-6m-gia-19-ty-lh-0937158386-r196498,"Bán nhà phố Tô Vĩnh Diện, Thanh Xuân 59m, 4 tầng, mt 6m. Giá: 19 tỷ. LH: 0937158386","Thanh Xuân, Hà Nội",96,59.0,4.0,3.0,5.0,False,19000.0
196480,https://batdongsan.vn/ban-nha-6-tang-ngang-lon-65m-cach-5m-ra-mt-xe-hoi-khu-dso-luu-thong-vinh-hoi-khanh-hoi-ben-r196480,BÁN NHÀ 6 TẦNG- NGANG LỚN 6.5M- CÁCH 5M RA MT XE HƠI- KHU Đ.SỐ- LƯU THÔNG VĨNH HỘI- KHÁNH HỘI- BẾN,"Quận 4, Hồ Chí Minh",96,48.0,8.0,8.0,7.0,False,8530.0
196501,https://batdongsan.vn/nhinh-8-ty-nha-6-tang-canh-nhon-xe-tai-tranh-kinh-doanh-tot-r196501,"🔥 NHỈNH 8 TỶ – NHÀ 6 TẦNG CẠNH NHỔN, XE TẢI TRÁNH – KINH DOANH TỐT 🔥","Hoài Đức, Hà Nội",96,40.0,4.0,5.0,7.0,False,8600.0
196863,https://batdongsan.vn/ban-nha-lac-long-quan-dt-40m-5-tang-dan-xay-o-to-do-cong-30m-o-to-tranh-gan-pho-r196863,Bán nhà Lạc Long Quân - DT 40M - 5 tầng - Dân xây - ô tô đỗ cổng - 30m ô tô tránh - Gần phố,"Tây Hồ, Hà Nội",21,40.0,4.0,5.0,6.0,False,6000.0
196854,https://batdongsan.vn/mat-tien-hem-hxh-quoc-lo-50-quan-8-hxh-ngang-45m-nha-4-tang-tang-noi-that-nhinh-9-d-r196854,"MẶT TIỀN HẺM HXH QUỐC LỘ 50, QUẬN 8-HXH – NGANG 4.5M – NHÀ 4 TẦNG – TẶNG NỘI THẤT- NHỈNH 9  Đ -","Quận 8, Hồ Chí Minh",21,50.0,5.0,6.0,5.0,True,9000.0
