location,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
"Long Biên, Hà Nội",50.0,4.0,4.0,6.0,0,12500.0
"Bình Chánh, Hồ Chí Minh",98.0,4.0,4.0,3.0,1,5500.0
"Gò Vấp, Hồ Chí Minh",62.0,4.0,5.0,6.0,0,8740.0
"Long Biên, Hà Nội",39.0,3.0,4.0,6.0,0,6500.0
"Cầu Giấy, Hà Nội",45.0,3.0,3.0,7.0,1,16980.0
"Hà Đông, Hà Nội",34.0,3.0,3.0,4.0,0,6550.0
"Thanh Xuân, Hà Nội",86.0,5.0,4.0,4.0,0,13500.0
"Nam Từ Liêm, Hà Nội",5.0,5.0,4.0,6.0,0,7500.0
"Quận 8, Hồ Chí Minh",50.0,5.0,5.0,5.0,0,6000.0
"Quận 5, Hồ Chí Minh",40.0,4.0,4.0,5.0,1,14500.0
"Tây Hồ, Hà Nội",40.0,4.0,5.0,5.0,0,8500.0
"Quận 12, Hồ Chí Minh",138.0,13.0,13.0,6.0,0,13700.0
"Quận 5, Hồ Chí Minh",30.0,2.0,2.0,2.0,0,3900.0
"Gò Vấp, Hồ Chí Minh",90.0,5.0,6.0,6.0,0,14000.0
"Quận 8, Hồ Chí Minh",64.0,4.0,4.0,5.0,0,7800.0
"Nha Trang, Khánh Hòa",111.0,17.0,,7.0,1,27000.0
"Thủ Đức, Hồ Chí Minh",85.0,5.0,6.0,4.0,0,6150.0
"Vĩnh Cửu, Đồng Nai",100.0,4.0,2.0,3.0,0,550.0
"Tây Hồ, Hà Nội",75.0,6.0,5.0,7.0,0,21500.0
"Thanh Xuân, Hà Nội",59.0,4.0,3.0,5.0,0,19000.0
"Quận 4, Hồ Chí Minh",48.0,8.0,8.0,7.0,0,8530.0
"Hoài Đức, Hà Nội",40.0,4.0,5.0,7.0,0,8600.0
"Tây Hồ, Hà Nội",40.0,4.0,5.0,6.0,0,6000.0
"Quận 8, Hồ Chí Minh",50.0,5.0,6.0,5.0,1,9000.0
"Quận 12, Hồ Chí Minh",75.0,3.0,3.0,4.0,1,6000.0
"Quận 8, Hồ Chí Minh",50.0,5.0,5.0,5.0,0,6000.0
"Long Biên, Hà Nội",90.0,5.0,3.0,5.0,0,23000.0
"Ba Đình, Hà Nội",30.0,3.0,3.0,5.0,1,8980.0
"Gò Vấp, Hồ Chí Minh",80.0,3.0,3.0,3.0,0,7000.0
"Bình Tân, Hồ Chí Minh",83.0,3.0,3.0,4.0,0,5900.0
"Ba Đình, Hà Nội",30.0,3.0,2.0,5.0,1,5800.0
"Quận 8, Hồ Chí Minh",64.0,5.0,6.0,3.0,0,13500.0
"Tân Bình, Hồ Chí Minh",68.0,10.0,9.0,4.0,1,10960.0
"Tân Phú, Hồ Chí Minh",50.0,3.0,3.0,4.0,0,7150.0
"Long Biên, Hà Nội",60.0,5.0,3.0,6.0,0,10600.0
"Ba Đình, Hà Nội",34.0,3.0,5.0,6.0,1,25500.0
"Thủ Đức, Hồ Chí Minh",119.0,3.0,3.0,4.0,1,16900.0
"Ba Đình, Hà Nội",47.0,3.0,5.0,6.0,0,25500.0
"Quận 8, Hồ Chí Minh",53.0,4.0,4.0,5.0,0,6950.0
"Long Biên, Hà Nội",55.0,3.0,4.0,6.0,0,10500.0
"Hoài Đức, Hà Nội",35.0,4.0,4.0,7.0,0,9800.0
"Tân Phú, Hồ Chí Minh",56.0,3.0,2.0,3.0,0,5680.0
"Quận 10, Hồ Chí Minh",40.0,3.0,3.0,5.0,1,8500.0
"Đông Anh, Hà Nội",58.0,,,5.0,0,7500.0
"Nam Từ Liêm, Hà Nội",8.0,5.0,4.0,5.0,0,18500.0
"Hai Bà Trưng, Hà Nội",31.0,2.0,2.0,4.0,1,12500.0
"Long Biên, Hà Nội",50.0,5.0,3.0,5.0,0,13000.0
"Long Biên, Hà Nội",36.0,3.0,4.0,6.0,1,6900.0
"Long Biên, Hà Nội",90.0,4.0,5.0,7.0,0,24000.0
"Tân Bình, Hồ Chí Minh",165.0,31.0,31.0,7.0,0,27900.0
"Quy Nhơn, Bình Định",100.0,3.0,3.0,4.0,1,3700.0
"Quận 8, Hồ Chí Minh",77.0,4.0,5.0,5.0,0,10000.0
"Ba Đình, Hà Nội",40.0,3.0,,7.0,0,16800.0
"Long Biên, Hà Nội",45.0,3.0,5.0,8.0,0,16000.0
"Nha Trang, Khánh Hòa",147.0,,,3.0,0,6200.0
"Quận 8, Hồ Chí Minh",88.0,4.0,5.0,5.0,0,10000.0
"Long Biên, Hà Nội",81.0,5.0,5.0,7.0,0,23500.0
"Thủ Dầu Một, Bình Dương",88.0,3.0,4.0,3.0,0,3100.0
"Thủ Dầu Một, Bình Dương",120.0,3.0,4.0,3.0,0,2950.0
"Quận 7, Hồ Chí Minh",77.0,4.0,4.0,3.0,0,8555.0
"Nam Từ Liêm, Hà Nội",35.0,3.0,4.0,6.0,1,7450.0
"Nha Trang, Khánh Hòa",105.0,4.0,2.0,3.0,1,10500.0
"Hải An, Hải Phòng",46.0,4.0,3.0,5.0,0,3250.0
"Long Biên, Hà Nội",30.0,3.0,4.0,4.0,1,6500.0
"Long Biên, Hà Nội",30.0,3.0,4.0,6.0,0,6100.0
"Quận 8, Hồ Chí Minh",65.0,4.0,5.0,6.0,1,8200.0
"Quận 3, Hồ Chí Minh",35.0,3.0,4.0,6.0,0,11800.0
