city_id,city_name
city_95ec7d95280b9a9ff888,An Giang
city_2c120bb6a1300293f7a0,Bà Rịa Vũng Tàu
city_f586e0340673c691b9ca,Bình Dương
city_c0cabf473442f4bdab24,Bình Phước
city_02a71b070e791c346ae0,Bình Thuận
city_8180e71ef095bab9e20a,Bình Định
city_f8c5548c0395fe53b1a3,Bắc Giang
city_a1c0d70198b479b790ca,Bắc Ninh
city_841ba57df40f5352d826,Bến Tre
city_5be786d46c0b32be9101,Cà Mau
city_4ffa3dff68be4713d65a,Cần Thơ
city_f5d3ac1a0190ebbc5c2d,Gia Lai
city_2d33882a0dec57ce6834,Hà Nam
city_77aebfe2d87c66d0c62e,Hà Nội
city_370488e71f7c2a811b4f,Hà Tĩnh
city_6a001bbe2813aebc7122,Hòa Bình
city_47c6f15da808163b3a07,Hưng Yên
city_802a466d2050b801e8cf,Hải Dương
city_48a73a8319e933a3c9ff,Hải Phòng
city_8a0ae0d12ba97d4a924a,Hậu Giang
city_9006ea7a29a6f8a06394,Hồ Chí Minh
city_b1f03cd2d4f3ad19c22c,Khánh Hòa
city_cd7dbe5fe10777941856,Kiên Giang
city_6ea406570e40c2520c8b,Lai Châu
city_9a71cb89fbe7fe5df4fd,Long An
city_a70f5b43010bf30f8010,Lào Cai
city_2efb3e175e78e17ee3cb,Lâm Đồng
city_19bbdb5b057162de63f7,Nam Định
city_c107b253189d09a0224d,Nghệ An
city_cbeb7a3470031eaa0a4f,Ninh Bình
city_ee7662b2a426cb0de30c,Ninh Thuận
city_d66a434f276acf030bd5,Phú Thọ
city_ecbbbdeb430e4009213b,Phú Yên
city_b4ab96ef3d7cd4fb4163,Quảng Bình
city_df2dd25b4c499f6bba99,Quảng Nam
city_2c2a20e3c97c4a4c136d,Quảng Ngãi
city_3ed973dbce59b61477bd,Quảng Ninh
city_3b0b65dbe79484280fee,Quảng Trị
city_cc4cd0d69e5ad659ce3f,Sóc Trăng
city_26d08f8317856c7bcc2c,Sơn La
city_f0c23044d6c7d641090c,Thanh Hóa
city_a0909cac05777233a6ce,Thái Bình
city_d5b0cb3a18be6a37f8c4,Thái Nguyên
city_be0d5bf7e30d7c8b352d,Thừa Thiên Huế
city_c08197c1c383e0dfb910,Tiền Giang
city_527707d89edee3820603,Trà Vinh
city_6a8db616769417e13f5a,Tuyên Quang
city_02d0504774f8dfed7fbb,Tây Ninh
city_8b63f072488e17e6b076,Vĩnh Long
city_ac50a3fcd0f55c19e8aa,Vĩnh Phúc
city_241196c140dd133343c8,Yên Bái
city_8a6161e5bf0eb867bd71,Điện Biên
city_93ee49dd7027d8176452,Đà Nẵng
city_3987b6e478bdbd6b484b,Đắk Lắk
city_5489d284f24ba3e29686,Đồng Nai
city_0bfc24e94512e15df4f8,Đồng Tháp
