district_id,district_name,city_id
district_b8ae3246e1f79ad08e01,An Dương,city_48a73a8319e933a3c9ff
district_314cca2ca25034206a40,An Lão,city_48a73a8319e933a3c9ff
district_39936186cffc6adbb1e5,Ba Vì,city_77aebfe2d87c66d0c62e
district_93e6563939ed0d0bac50,Ba Đình,city_77aebfe2d87c66d0c62e
district_c644f96e9be11ecb96e0,Biên Hòa,city_5489d284f24ba3e29686
district_ea0d8fca6a8bc046ea6c,Buôn Ma Thuột,city_3987b6e478bdbd6b484b
district_3d879b505d6c78cd153d,Bà Rịa,city_2c120bb6a1300293f7a0
district_84ff20f01e1e6423ecb6,Bàu Bàng,city_f586e0340673c691b9ca
district_f49613c929215cc35d82,Bình Chánh,city_9006ea7a29a6f8a06394
district_7a21ed6e3bd7c32962fb,Bình Long,city_c0cabf473442f4bdab24
district_b824ded9d236a1e3a44c,Bình Lục,city_2d33882a0dec57ce6834
district_face9e76249785a7cb74,Bình Minh,city_8b63f072488e17e6b076
district_bfe3c72e8908d0e7926e,Bình Thạnh,city_9006ea7a29a6f8a06394
district_09f939d72b67e27456a9,Bình Thủy,city_4ffa3dff68be4713d65a
district_57880645c8c1190b74c8,Bình Tân,city_9006ea7a29a6f8a06394
district_1c2ffb85cf1416dd4d13,Bù Đăng,city_c0cabf473442f4bdab24
district_829c4e85a920043736fa,Bảo Lâm,city_2efb3e175e78e17ee3cb
district_7e78e64e8f54beabada1,Bảo Lộc,city_2efb3e175e78e17ee3cb
district_bbc008fb571bf4e4930c,Bắc Giang,city_f8c5548c0395fe53b1a3
district_a6cf433350cc1c4d9555,Bắc Ninh,city_a1c0d70198b479b790ca
district_df7a24dc58df04062ea6,Bắc Tân Uyên,city_f586e0340673c691b9ca
district_493d9a08ee5c6cc277eb,Bắc Từ Liêm,city_77aebfe2d87c66d0c62e
district_6974afb0970c4ffa88a2,Bến Cát,city_f586e0340673c691b9ca
district_ad5cecd00dd930f5292e,Bến Lức,city_9a71cb89fbe7fe5df4fd
district_b036d485e133e2cb3937,Bến Tre,city_841ba57df40f5352d826
district_9318be95e9bda862e5eb,Cam Lâm,city_b1f03cd2d4f3ad19c22c
district_e7e43c6fecd82ad52ffe,Cam Ranh,city_b1f03cd2d4f3ad19c22c
district_e8569dee3cc5872541f8,Cao Phong,city_6a001bbe2813aebc7122
district_53441d9bdc13bc8bcce6,Châu Phú,city_95ec7d95280b9a9ff888
district_5360d6908b79e0b53148,Châu Thành,city_841ba57df40f5352d826
district_705cadc853e77bdeabca,Châu Thành,city_c08197c1c383e0dfb910
district_d69ba713a89972c82765,Châu Thành,city_95ec7d95280b9a9ff888
district_4010beb03f4ed20addb7,Châu Thành A,city_8a0ae0d12ba97d4a924a
district_a6a7a3a04a96074d3d01,Châu Đốc,city_95ec7d95280b9a9ff888
district_200aae87bb98a2dcffc7,Châu Đức,city_2c120bb6a1300293f7a0
district_094e9c80c1a5b6777669,Chí Linh,city_802a466d2050b801e8cf
district_57b26c77db787a5ab6af,Chơn Thành,city_c0cabf473442f4bdab24
district_1f8ae83969d91b33ca39,Chư Păh,city_f5d3ac1a0190ebbc5c2d
