class_id,class_name
class_52da9457fdf6740afd51,Blouses
class_43f6fe05e589fb76ff8a,Casual bottoms
class_4e1ff09fdbe6a9fc478f,Chemises
class_7d54e6ff154ad392b174,Dresses
class_9deef4712756d30ffaa3,Fine gauge
class_b7f740446b63715473af,Intimates
class_5da3128be1ff7664a1b2,Jackets
class_1cf1396a0c9bc53f37da,Jeans
class_1bc7e06ece0f38a60982,Knits
class_52438e68a549a636811e,Layering
class_4397d106b671d697b6e0,Legwear
class_f6efb94c9ae061247bed,Lounge
class_be68f8ed5877c11b8be4,Outerwear
class_e65aace9237833ec7752,Pants
class_9e32d15b246e504af33c,Shorts
class_0eeaed02d1a961f133b4,Skirts
class_c3ca5f787365eae0dea8,Sleep
class_1318693c237b7b97c0c0,Sweaters
class_b89f90f328fa7e7781c0,Swim
class_48075864b2596de25a65,Trend
